graph_layer,factor_name,label_horizon,label_variant,sample_size,rank_ic,top_decile_mean,bottom_decile_mean,top_bottom_spread,top_decile_hit_rate,layer_role,score,confidence_bucket,research_action
return_corr_graph,community_member_count,5m,member_weight,24893,0.0156445399109428,5.895226394400656e-05,-4.578741274947727e-05,0.0001047396766934,0.5002008838891121,beta_context_layer,0.0687748787550923,strong_sample,keep_for_next_round
return_corr_graph,community_mean_volume_z_12,30m,top5_member,23821,-0.0154760442730028,0.0003344575799491,0.0002662148851322,6.824269481684641e-05,0.5092359361880773,beta_context_layer,0.06773830871945587,strong_sample,keep_for_next_round
dtw_return_similarity_graph,edge_density_feature,1m,top5_member,4313,0.0183564798028542,-9.42417141860513e-05,-0.0002461692911505,0.0001519275769645,0.4988399071925754,weak_pair_candidate,0.06672360388977658,usable,keep_for_next_round
flow_alignment_graph,community_member_count,5m,top5_member,27677,0.0149285806363241,-0.0001062059482775,-0.0006642609509051,0.0005580550026275,0.4828333935670401,event_alignment_layer,0.0663147661408855,strong_sample,keep_for_next_round
dtw_return_similarity_graph,community_member_count,1m,top5_member,4313,-0.0181784625106181,-1.693403990058251e-05,-0.000157551851223,0.0001406178113225,0.4872389791183295,weak_pair_candidate,0.06607653236951454,usable,keep_for_next_round
dtw_return_similarity_graph,edge_density_feature,5m,top5_member,4296,0.0180638134865768,-0.0002157236900369,-0.0006992099703007,0.0004834862802637,0.5011655011655012,weak_pair_candidate,0.06562882131483887,usable,keep_for_next_round
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,30m,equal_weight,1997,0.0193508681915278,0.0004576382928472,-0.0015414121106901,0.0019990504035373,0.4824120603015075,pair_flow_leadlag_candidate,0.06386938816230661,watch,watch
dtw_trade_flow_similarity_graph,community_mean_volume_z_12,30m,member_weight,1997,0.0193508681915278,0.0004576382928472,-0.0015414121106901,0.0019990504035373,0.4824120603015075,pair_flow_leadlag_candidate,0.06386938816230661,watch,watch
dtw_return_similarity_graph,edge_density_feature,5m,equal_weight,4296,0.0171989647290122,-0.0002157236900369,-0.000734925831402,0.000519202141365,0.5011655011655012,weak_pair_candidate,0.062486682772678576,usable,keep_for_next_round
dtw_return_similarity_graph,edge_density_feature,5m,member_weight,4296,0.0171989647290122,-0.0002157236900369,-0.000734925831402,0.000519202141365,0.5011655011655012,weak_pair_candidate,0.062486682772678576,usable,keep_for_next_round
return_corr_graph,community_member_count,30m,top10_member,24153,0.0142227034617935,0.0005616243284234,0.0002247646847288,0.0003368596436946,0.5109730848861284,beta_context_layer,0.062337953704604966,strong_sample,keep_for_next_round
volume_expansion_graph,edge_density_feature,15m,top10_member,25931,0.0138038789976806,0.0004996129079148,-0.0012679316466308,0.0017675445545456,0.4843810258387968,theme_candidate_layer,0.060928058238102656,strong_sample,prioritize_for_next_round
volume_expansion_graph,feature_coverage_ratio,5m,top10_member,26897,0.0136631951728942,0.0001178699912505,-0.000247907626924,0.0003657776181745,0.4897731498698401,theme_candidate_layer,0.06052412877438584,strong_sample,prioritize_for_next_round
flow_alignment_graph,community_mean_volume_z_12,5m,top5_member,27677,0.0132834675361969,-8.511492160615261e-05,-0.000245047844406,0.0001599329227999,0.5084929526563065,event_alignment_layer,0.05900695214517363,strong_sample,keep_for_next_round
dtw_return_similarity_graph,community_avg_weight_feature,5m,top10_member,4296,0.016189273786324,8.034028547875537e-05,7.10555309469761e-05,9.284754531779275e-06,0.5221445221445221,weak_pair_candidate,0.058818308621775374,usable,keep_for_next_round
dtw_return_similarity_graph,community_avg_weight_feature,5m,equal_weight,4296,0.0161737806465006,8.034028547875537e-05,7.10555309469761e-05,9.284754531779275e-06,0.5221445221445221,weak_pair_candidate,0.058762019482949214,usable,keep_for_next_round
dtw_return_similarity_graph,community_avg_weight_feature,5m,member_weight,4296,0.0161737806465006,8.034028547875537e-05,7.10555309469761e-05,9.284754531779275e-06,0.5221445221445221,weak_pair_candidate,0.058762019482949214,usable,keep_for_next_round
large_trade_alignment_graph,positive_ret_1m_breadth,30m,equal_weight,37,-0.0370587964992371,0.0046308053820178,0.0027380892446231,0.0018927161373946,1.0,sparse_event_flag,0.05854487881985524,ignore,ignore_sparse
large_trade_alignment_graph,positive_ret_1m_breadth,30m,member_weight,37,-0.0370587964992371,0.0046308053820178,0.0027380892446231,0.0018927161373946,1.0,sparse_event_flag,0.05854487881985524,ignore,ignore_sparse
large_trade_alignment_graph,positive_ret_1m_breadth,30m,top10_member,37,-0.0370587964992371,0.0046308053820178,0.0027380892446231,0.0018927161373946,1.0,sparse_event_flag,0.05854487881985524,ignore,ignore_sparse
volume_expansion_graph,community_avg_weight_feature,1m,top5_member,27100,0.0130656670534749,0.0005048129255043,8.827193676389221e-05,0.0004165409887404,0.5136531365313654,theme_candidate_layer,0.05791991019448259,strong_sample,prioritize_for_next_round
dtw_trade_flow_similarity_graph,edge_density_feature,5m,top10_member,1998,0.0169652285780078,0.0005729440707388,-1.872590426056997e-05,0.0005916699749994,0.5728643216080402,pair_flow_leadlag_candidate,0.05599904354542646,watch,watch
