strategy_id,entry_standard,exit_standard,holding_policy,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,trade_count,avg_holding_days,open_trade_ratio,return_from_long_holds,long_hold_contribution
E3_X5_H3,15m Confirmation,Relative Strength Exit,Fixed 5D,0.14439917406907288,0.7620801137852868,0.22516555092639337,2.6311689902205395,-0.07850312343655252,0.6121212121212121,165,1.0545454545454545,0.01818181818181818,0.0,0.0
E3_X5_H4,15m Confirmation,Relative Strength Exit,Fixed 10D,0.14439917406907288,0.7620801137852868,0.22516555092639337,2.6311689902205395,-0.07850312343655252,0.6121212121212121,165,1.0545454545454545,0.01818181818181818,0.0,0.0
E3_X5_H5,15m Confirmation,Relative Strength Exit,Event-driven Hold,0.14439917406907288,0.7620801137852868,0.22516555092639337,2.6311689902205395,-0.07850312343655252,0.6121212121212121,165,1.0545454545454545,0.01818181818181818,0.0,0.0
E4_X6_H2,Cross-resolution Confirmation,Rotation-out Exit,Fixed 3D,0.15800188573979645,0.8517353600988706,0.24788817472920327,2.6121338492338193,-0.0625737240654144,0.6026490066225165,151,1.1324503311258278,0.019867549668874173,0.0,0.0
E4_X6_H3,Cross-resolution Confirmation,Rotation-out Exit,Fixed 5D,0.15800188573979645,0.8517353600988706,0.24788817472920327,2.6121338492338193,-0.0625737240654144,0.6026490066225165,151,1.1324503311258278,0.019867549668874173,0.0,0.0
E4_X6_H4,Cross-resolution Confirmation,Rotation-out Exit,Fixed 10D,0.15800188573979645,0.8517353600988706,0.24788817472920327,2.6121338492338193,-0.0625737240654144,0.6026490066225165,151,1.1324503311258278,0.019867549668874173,0.0,0.0
E4_X6_H5,Cross-resolution Confirmation,Rotation-out Exit,Event-driven Hold,0.15800188573979645,0.8517353600988706,0.24788817472920327,2.6121338492338193,-0.0625737240654144,0.6026490066225165,151,1.1324503311258278,0.019867549668874173,0.0,0.0
E3_X4_H6,15m Confirmation,Breadth Breakdown,Min-hold + Signal Exit,0.14476855416340895,0.7644700987711912,0.2307685365432989,2.578805892757449,-0.056976177110386494,0.6103896103896104,154,1.12987012987013,0.01948051948051948,0.0,0.0
E3_X1_H3,15m Confirmation,No Signal Exit,Fixed 5D,0.14435559863398062,0.7617983321546506,0.23103151311698172,2.5695617221993587,-0.056976177110386494,0.6143790849673203,153,1.1372549019607843,0.0196078431372549,0.0,0.0
E3_X1_H4,15m Confirmation,No Signal Exit,Fixed 10D,0.14435559863398062,0.7617983321546506,0.23103151311698172,2.5695617221993587,-0.056976177110386494,0.6143790849673203,153,1.1372549019607843,0.0196078431372549,0.0,0.0
E3_X1_H5,15m Confirmation,No Signal Exit,Event-driven Hold,0.14435559863398062,0.7617983321546506,0.23103151311698172,2.5695617221993587,-0.056976177110386494,0.6143790849673203,153,1.1372549019607843,0.0196078431372549,0.0,0.0
E3_X1_H6,15m Confirmation,No Signal Exit,Min-hold + Signal Exit,0.14435559863398062,0.7617983321546506,0.23103151311698172,2.5695617221993587,-0.056976177110386494,0.6143790849673203,153,1.1372549019607843,0.0196078431372549,0.0,0.0
E3_X6_H6,15m Confirmation,Rotation-out Exit,Min-hold + Signal Exit,0.14435559863398062,0.7617983321546506,0.23103151311698172,2.5695617221993587,-0.056976177110386494,0.6143790849673203,153,1.1372549019607843,0.0196078431372549,0.0,0.0
E3_X1_H2,15m Confirmation,No Signal Exit,Fixed 3D,0.1401584469493773,0.7348178346734493,0.23038096058179208,2.5090315783281003,-0.056976177110386494,0.6168831168831169,154,1.12987012987013,0.01948051948051948,0.0,0.0
E3_X2_H6,15m Confirmation,Lifecycle Exit,Min-hold + Signal Exit,0.13937029699817938,0.7297866941076134,0.2308448170337992,2.4918606037451334,-0.056976177110386494,0.6129032258064516,155,1.1225806451612903,0.01935483870967742,0.0,0.0
E3_X3_H6,15m Confirmation,Coherence Breakdown,Min-hold + Signal Exit,0.13937029699817938,0.7297866941076134,0.2308448170337992,2.4918606037451334,-0.056976177110386494,0.6129032258064516,155,1.1225806451612903,0.01935483870967742,0.0,0.0
E3_X7_H6,15m Confirmation,Composite Structural Exit,Min-hold + Signal Exit,0.13937029699817938,0.7297866941076134,0.2308448170337992,2.4918606037451334,-0.056976177110386494,0.6129032258064516,155,1.1225806451612903,0.01935483870967742,0.0,0.0
E3_X5_H6,15m Confirmation,Relative Strength Exit,Min-hold + Signal Exit,0.13910350745152744,0.7280861690023417,0.23113202527538912,2.484784697717862,-0.056976177110386494,0.6089743589743589,156,1.1153846153846154,0.019230769230769232,0.0,0.0
E4_X4_H6,Cross-resolution Confirmation,Breadth Breakdown,Min-hold + Signal Exit,0.14351245688779124,0.7563528908059036,0.24398755281092097,2.4327640659431817,-0.06223139857365112,0.6081081081081081,148,1.1554054054054055,0.02027027027027027,0.0,0.0
E4_X1_H2,Cross-resolution Confirmation,No Signal Exit,Fixed 3D,0.1430950261233721,0.753661659911351,0.24430797893745512,2.423607384487965,-0.0625737240654145,0.6122448979591837,147,1.163265306122449,0.02040816326530612,0.0,0.0
E4_X1_H3,Cross-resolution Confirmation,No Signal Exit,Fixed 5D,0.1430950261233721,0.753661659911351,0.24430797893745512,2.423607384487965,-0.0625737240654145,0.6122448979591837,147,1.163265306122449,0.02040816326530612,0.0,0.0
E4_X1_H4,Cross-resolution Confirmation,No Signal Exit,Fixed 10D,0.1430950261233721,0.753661659911351,0.24430797893745512,2.423607384487965,-0.0625737240654145,0.6122448979591837,147,1.163265306122449,0.02040816326530612,0.0,0.0
E4_X1_H5,Cross-resolution Confirmation,No Signal Exit,Event-driven Hold,0.1430950261233721,0.753661659911351,0.24430797893745512,2.423607384487965,-0.0625737240654145,0.6122448979591837,147,1.163265306122449,0.02040816326530612,0.0,0.0
E4_X1_H6,Cross-resolution Confirmation,No Signal Exit,Min-hold + Signal Exit,0.1430950261233721,0.753661659911351,0.24430797893745512,2.423607384487965,-0.0625737240654145,0.6122448979591837,147,1.163265306122449,0.02040816326530612,0.0,0.0
E4_X6_H6,Cross-resolution Confirmation,Rotation-out Exit,Min-hold + Signal Exit,0.1430950261233721,0.753661659911351,0.24430797893745512,2.423607384487965,-0.0625737240654145,0.6122448979591837,147,1.163265306122449,0.02040816326530612,0.0,0.0
E3_X6_H3,15m Confirmation,Rotation-out Exit,Fixed 5D,0.13774401881377174,0.7194405179627801,0.23583836077190415,2.41866910535771,-0.06526264119643599,0.6114649681528662,157,1.10828025477707,0.01910828025477707,0.0,0.0
E3_X6_H4,15m Confirmation,Rotation-out Exit,Fixed 10D,0.13774401881377174,0.7194405179627801,0.23583836077190415,2.41866910535771,-0.06526264119643599,0.6114649681528662,157,1.10828025477707,0.01910828025477707,0.0,0.0
E3_X6_H5,15m Confirmation,Rotation-out Exit,Event-driven Hold,0.13774401881377174,0.7194405179627801,0.23583836077190415,2.41866910535771,-0.06526264119643599,0.6114649681528662,157,1.10828025477707,0.01910828025477707,0.0,0.0
E4_X5_H6,Cross-resolution Confirmation,Relative Strength Exit,Min-hold + Signal Exit,0.14229810301168433,0.7485325178968991,0.2448394219168486,2.406910689579574,-0.06322726261446154,0.6081081081081081,148,1.1554054054054055,0.02027027027027027,0.0,0.0
E3_X3_H2,15m Confirmation,Coherence Breakdown,Fixed 3D,0.13119579796913095,0.6782578582683763,0.22936876881691315,2.374316412614989,-0.06088799461124916,0.6139240506329114,158,1.1012658227848102,0.0189873417721519,0.0,0.0
E3_X3_H3,15m Confirmation,Coherence Breakdown,Fixed 5D,0.13119579796913095,0.6782578582683763,0.22936876881691315,2.374316412614989,-0.06088799461124916,0.6139240506329114,158,1.1012658227848102,0.0189873417721519,0.0,0.0
E3_X3_H4,15m Confirmation,Coherence Breakdown,Fixed 10D,0.13119579796913095,0.6782578582683763,0.22936876881691315,2.374316412614989,-0.06088799461124916,0.6139240506329114,158,1.1012658227848102,0.0189873417721519,0.0,0.0
E3_X3_H5,15m Confirmation,Coherence Breakdown,Event-driven Hold,0.13119579796913095,0.6782578582683763,0.22936876881691315,2.374316412614989,-0.06088799461124916,0.6139240506329114,158,1.1012658227848102,0.0189873417721519,0.0,0.0
E3_X6_H2,15m Confirmation,Rotation-out Exit,Fixed 3D,0.13357111641270714,0.6931086956893231,0.23519498209859577,2.3588867607843627,-0.06526264119643599,0.6139240506329114,158,1.1012658227848102,0.0189873417721519,0.0,0.0
E4_X2_H6,Cross-resolution Confirmation,Lifecycle Exit,Min-hold + Signal Exit,0.13742225057611712,0.7173990689581309,0.24398977599260213,2.340649221361357,-0.06322726261446143,0.6066666666666667,150,1.14,0.02,0.0,0.0
E4_X3_H6,Cross-resolution Confirmation,Coherence Breakdown,Min-hold + Signal Exit,0.13661886158585768,0.7123100526564834,0.24403892636917282,2.3280391375062277,-0.06322726261446143,0.610738255033557,149,1.1476510067114094,0.020134228187919462,0.0,0.0
E4_X7_H6,Cross-resolution Confirmation,Composite Structural Exit,Min-hold + Signal Exit,0.13661886158585768,0.7123100526564834,0.24403892636917282,2.3280391375062277,-0.06322726261446143,0.610738255033557,149,1.1476510067114094,0.020134228187919462,0.0,0.0
E3_X1_H1,15m Confirmation,No Signal Exit,Fixed 1D,0.11950103359338127,0.6065819942678923,0.21995209662513346,2.2674772637244867,-0.08371389630184012,0.6101694915254238,177,0.9830508474576272,0.01694915254237288,0.0,0.0
E3_X2_H1,15m Confirmation,Lifecycle Exit,Fixed 1D,0.11950103359338127,0.6065819942678923,0.21995209662513346,2.2674772637244867,-0.08371389630184012,0.6101694915254238,177,0.9830508474576272,0.01694915254237288,0.0,0.0
E3_X3_H1,15m Confirmation,Coherence Breakdown,Fixed 1D,0.11950103359338127,0.6065819942678923,0.21995209662513346,2.2674772637244867,-0.08371389630184012,0.6101694915254238,177,0.9830508474576272,0.01694915254237288,0.0,0.0
E3_X4_H1,15m Confirmation,Breadth Breakdown,Fixed 1D,0.11950103359338127,0.6065819942678923,0.21995209662513346,2.2674772637244867,-0.08371389630184012,0.6101694915254238,177,0.9830508474576272,0.01694915254237288,0.0,0.0
E3_X5_H1,15m Confirmation,Relative Strength Exit,Fixed 1D,0.11950103359338127,0.6065819942678923,0.21995209662513346,2.2674772637244867,-0.08371389630184012,0.6101694915254238,177,0.9830508474576272,0.01694915254237288,0.0,0.0
E3_X6_H1,15m Confirmation,Rotation-out Exit,Fixed 1D,0.11950103359338127,0.6065819942678923,0.21995209662513346,2.2674772637244867,-0.08371389630184012,0.6101694915254238,177,0.9830508474576272,0.01694915254237288,0.0,0.0
